,sessionID,time,x,y
1075,s30,2016-09-11 20:45:35,-3264.0244111474603,-40194.34980682796
1076,s30,2016-09-11 20:45:40,-3245.370926320087,-40330.83549013687
1077,s30,2016-09-11 20:45:45,-3225.8314636177383,-40469.54032000294
1078,s30,2016-09-11 20:45:50,-3195.664889234584,-40606.021810723
1079,s30,2016-09-11 20:45:55,-3153.9868233879097,-40738.060343960766
1080,s30,2016-09-11 20:46:00,-3111.4264201601036,-40864.55030153785
1081,s30,2016-09-11 20:46:05,-3067.980405230075,-40994.36929249484
1082,s30,2016-09-11 20:46:10,-3019.220562864095,-41127.51574698696
1083,s30,2016-09-11 20:46:15,-2973.116071442608,-41269.54107209947
1084,s30,2016-09-11 20:46:20,-2909.304325301666,-41400.463557016104
1085,s30,2016-09-11 20:46:25,-2813.619675418362,-41509.181835997384
1086,s30,2016-09-11 20:46:30,-2699.3439439912327,-41604.57883340772
1087,s30,2016-09-11 20:46:35,-2583.296535260044,-41709.96417943621
1088,s30,2016-09-11 20:46:40,-2472.566214405466,-41813.13330283109
1089,s30,2016-09-11 20:46:45,-2378.661468664184,-41927.405666067265
1090,s30,2016-09-11 20:46:50,-2318.4046568330377,-42063.88235871028
1091,s30,2016-09-11 20:46:55,-2286.48435041029,-42211.46420366177
1092,s30,2016-09-11 20:47:00,-2253.680814565625,-42354.6071724575
1093,s30,2016-09-11 20:47:05,-2222.6482564429753,-42502.18960598018
1094,s30,2016-09-11 20:47:10,-2194.272999783512,-42650.88260566117
1095,s30,2016-09-11 20:47:15,-2167.670856115874,-42795.137391855475
1096,s30,2016-09-11 20:47:20,-2143.7265998977236,-42937.17357940879
1097,s30,2016-09-11 20:47:25,-2119.785381813068,-43070.33223843202
1098,s30,2016-09-11 20:47:30,-2099.386693243403,-43203.49189264607
1099,s30,2016-09-11 20:47:35,-2078.10376568418,-43334.432010133285
1100,s30,2016-09-11 20:47:40,-2051.5033303592354,-43488.67478313297
1101,s30,2016-09-11 20:47:45,-2029.336731818039,-43618.505197514314
1102,s30,2016-09-11 20:47:50,-2007.1710794176906,-43747.226005981676
1103,s30,2016-09-11 20:47:55,-1985.0066257552244,-43873.727499071974
1104,s30,2016-09-11 20:48:00,-1968.1614737887867,-43972.48761314014
1105,s30,2016-09-11 20:48:05,-1945.1074688639492,-44122.29296922404
1106,s30,2016-09-11 20:48:10,-1924.715851223562,-44247.6854439741
1107,s30,2016-09-11 20:48:15,-1906.9860742958263,-44349.77470389195
1108,s30,2016-09-11 20:48:20,-1885.7100143670104,-44476.276857499965
1109,s30,2016-09-11 20:48:25,-1860.0012520975433,-44633.85002404358
1110,s30,2016-09-11 20:48:30,-1841.3860894949175,-44743.70730626304
1111,s30,2016-09-11 20:48:35,-1824.5450751599856,-44839.13879864244
1112,s30,2016-09-11 20:48:40,-1813.0191154759377,-44920.14524074225
1113,s30,2016-09-11 20:48:45,-1799.724763427861,-44992.27364436118
1114,s30,2016-09-11 20:48:50,-1789.9716309695505,-45064.40283399727
1115,s30,2016-09-11 20:48:55,-1782.8748562159017,-45134.31318592187
1116,s30,2016-09-11 20:49:00,-1782.8612398682162,-45198.67649067007
1117,s30,2016-09-11 20:49:06,-1786.389238044154,-45259.71141889598
1118,s30,2016-09-11 20:49:11,-1789.9174206228927,-45319.636645833496
1119,s30,2016-09-11 20:49:16,-1793.4453166811727,-45380.67159651173
1120,s30,2016-09-11 20:49:21,-1796.0872434661724,-45445.03550868388
1121,s30,2016-09-11 20:49:26,-1799.6136200758629,-45512.72876110859
1122,s30,2016-09-11 20:49:31,-1804.9100898588076,-45581.53211949719
1123,s30,2016-09-11 20:49:36,-1809.3208098597825,-45652.55473079067
1124,s30,2016-09-11 20:49:41,-1812.846515155863,-45722.46745350724
1125,s30,2016-09-11 20:49:46,-1818.1408289121464,-45800.14857041463
1126,s30,2016-09-11 20:49:51,-1822.5496421116404,-45878.93922941107
1127,s30,2016-09-11 20:49:56,-1828.729162670672,-45955.51086225547
1128,s30,2016-09-11 20:50:01,-1831.3747378485277,-46001.00973486062
1129,s30,2016-09-11 20:50:06,-1831.373049614951,-46008.777737153694
1130,s30,2016-09-11 20:50:11,-1832.2560268538073,-46018.76536132349
1131,s30,2016-09-11 20:50:16,-1834.0226996117271,-46035.41146660922
1132,s30,2016-09-11 20:50:21,-1835.782837879844,-46082.01987250056
1133,s30,2016-09-11 20:50:26,-1841.0801072833128,-46144.165067369584
1134,s30,2016-09-11 20:50:31,-1844.6055845511146,-46212.96817944199
1135,s30,2016-09-11 20:50:36,-1847.24807327101,-46271.78367277281
1136,s30,2016-09-11 20:50:41,-1853.4243947495706,-46360.562275865115
1137,s30,2016-09-11 20:50:46,-1856.066530735232,-46420.48751094239
1138,s30,2016-09-11 20:50:51,-1859.590054681059,-46497.05869235983
1139,s30,2016-09-11 20:50:56,-1866.6504306900315,-46589.166702908
1140,s30,2016-09-11 20:51:01,-1873.7138599269092,-46666.84842635458
1141,s30,2016-09-11 20:51:06,-1879.0065204845741,-46746.749210539274
1142,s30,2016-09-11 20:51:11,-1882.5272188331,-46834.417638848536
1143,s30,2016-09-11 20:51:16,-1887.815214375034,-46934.29337645369
1144,s30,2016-09-11 20:51:21,-1896.6439980873838,-47030.840787312016
1145,s30,2016-09-11 20:51:26,-1903.7032684232108,-47124.05867851619
1146,s30,2016-09-11 20:51:31,-1909.8768570530228,-47219.49583472684
1147,s30,2016-09-11 20:51:36,-1916.9343070653267,-47319.37209528359
1148,s30,2016-09-11 20:51:41,-1923.991589215584,-47419.24838859588
1149,s30,2016-09-11 20:51:46,-1929.2802477502264,-47512.465994596016
1150,s30,2016-09-11 20:51:51,-1935.4512205878273,-47616.78102444019
1151,s30,2016-09-11 20:51:56,-1941.6253647427075,-47706.66973217903
1152,s30,2016-09-11 20:52:01,-1949.5651901103556,-47814.31439509895
1153,s30,2016-09-11 20:52:06,-1956.618059922941,-47929.72693353612
1154,s30,2016-09-11 20:52:11,-1962.7863178756088,-48042.91986633744
1155,s30,2016-09-11 20:52:16,-1971.6032059332356,-48181.63704356272
1156,s30,2016-09-11 20:52:21,-1979.539068672806,-48302.59853044944
1157,s30,2016-09-11 20:52:26,-1986.5887606996112,-48427.998743138276
1158,s30,2016-09-11 20:52:31,-1992.7586105749942,-48531.20435146708
1159,s30,2016-09-11 20:52:36,-1998.9219888518564,-48661.04333330877
1160,s30,2016-09-11 20:52:41,-1986.5024017277174,-48794.20713191619
1161,s30,2016-09-11 20:52:46,-1952.8415885046124,-48950.670238351915
1162,s30,2016-09-11 20:52:51,-1922.726637368556,-49083.83015225129
1163,s30,2016-09-11 20:52:56,-1880.2242802819237,-49221.42634510854
1164,s30,2016-09-11 20:53:01,-1805.8729993999004,-49347.91866865987
1165,s30,2016-09-11 20:53:06,-1710.2911426997744,-49464.419828914106
1166,s30,2016-09-11 20:53:11,-1650.0976579142734,-49607.56237909198
1167,s30,2016-09-11 20:53:16,-1649.1820329744369,-49765.14325027261
1168,s30,2016-09-11 20:53:21,-1707.5467947279103,-49908.30955593893
1169,s30,2016-09-11 20:53:26,-1812.8061652081087,-50022.633389187045
1170,s30,2016-09-11 20:53:31,-1915.409793974366,-50131.409334740136
1171,s30,2016-09-11 20:53:36,-1997.6599388797767,-50251.2789856391
1172,s30,2016-09-11 21:18:21,-3534.8094399780966,-72380.47217006003
1173,s30,2016-09-11 21:18:26,-3534.8094399780966,-72380.47217006003
1174,s30,2016-09-11 21:18:31,-3534.8094399780966,-72380.47217006003
1175,s30,2016-09-11 21:18:36,-3534.8094399780966,-72380.47217006003
1176,s30,2016-09-11 21:18:41,-3534.8094399780966,-72380.47217006003
1177,s30,2016-09-11 21:18:46,-3534.8094399780966,-72380.47217006003
1178,s30,2016-09-11 21:18:51,-3535.691818714142,-72380.47254140861
1179,s30,2016-09-11 21:18:56,-3535.691818714142,-72380.47254140861
1180,s30,2016-09-11 21:19:01,-3535.691818714142,-72380.47254140861
1181,s30,2016-09-11 21:19:06,-3535.691818714142,-72380.47254140861
1182,s30,2016-09-11 21:19:11,-3535.691818714142,-72380.47254140861
1183,s30,2016-09-11 21:19:16,-3535.691818714142,-72380.47254140861
1184,s30,2016-09-11 21:19:21,-3534.8094399780966,-72380.47217006003
1185,s30,2016-09-11 21:19:26,-3534.8094399780966,-72380.47217006003
1186,s30,2016-09-11 21:19:31,-3534.8094399780966,-72380.47217006003
1187,s30,2016-09-11 21:19:36,-3534.8094399780966,-72380.47217006003
1188,s30,2016-09-11 21:19:41,-3534.8094399780966,-72380.47217006003
1189,s30,2016-09-11 21:19:46,-3534.8094399780966,-72380.47217006003
1190,s30,2016-09-11 21:19:51,-3534.8094399780966,-72380.47217006003
1191,s30,2016-09-11 21:19:56,-3534.8094399780966,-72380.47217006003
1192,s30,2016-09-11 21:20:01,-3534.8094399780966,-72380.47217006003
1193,s30,2016-09-11 21:20:06,-3534.8094399780966,-72380.47217006003
1194,s30,2016-09-11 21:20:11,-3534.8094399780966,-72380.47217006003
1195,s30,2016-09-11 21:20:16,-3534.8094399780966,-72380.47217006003
